"X","Y","F39L","tkxI","VNSF","C1hA"
"5.0","1.0","-78","-74","-81","-86"
"5.0","1.0","-78","-74","-81","-88"
"5.0","1.0","-78","-78","-86","-88"
"5.0","1.0","-78","-78","-86","-88"
"5.0","1.0","100","-78","-81","-88"
"5.0","1.0","100","-78","-81","-86"
"5.0","1.0","-88","-73","-78","-88"
"5.0","1.0","-88","-73","-82","-85"
"5.0","1.0","-88","-75","-76","-85"
"5.0","1.0","-87","-75","-76","-85"
"5.0","1.0","-87","-93","-76","-85"
"5.0","1.0","-87","-73","-76","-85"
"5.0","1.0","-87","-73","-76","-85"
"5.0","1.0","-94","-73","-76","-86"
"5.0","1.0","-94","-73","-76","-87"
"5.0","1.0","-94","-73","-76","-84"
"5.0","3.0","-83","-93","-66","-86"
"5.0","3.0","-83","-91","-66","-88"
"5.0","3.0","-83","-91","-66","-95"
"5.0","3.0","-83","-91","-66","-88"
"5.0","3.0","-83","-91","-66","-95"
"5.0","3.0","-83","-88","-68","-95"
"5.0","3.0","-89","-81","-68","-95"
"5.0","3.0","-81","-86","-68","-88"
"5.0","3.0","-81","-86","-68","-88"
"5.0","3.0","-81","-86","-68","-89"
"5.0","3.0","-93","-72","-72","-87"
"5.0","3.0","-87","-74","-72","-87"
"5.0","3.0","-87","-78","-74","-87"
"5.0","3.0","-87","-78","-74","-92"
"5.0","3.0","-87","-74","-74","-92"
"5.0","3.0","-87","-75","-74","-92"
"5.0","3.0","-87","-75","-74","-91"
"5.0","3.0","-87","-75","-74","-92"
"5.0","3.0","-87","-75","-74","-92"
"5.0","3.0","-87","-75","-74","-92"
"5.0","3.0","-88","-75","-88","-86"
"5.0","3.0","-88","-75","-88","-83"
"5.0","3.0","-81","-75","-75","-83"
"5.0","3.0","-81","-75","-78","-83"
"5.0","3.0","-81","-75","-78","-86"
"5.0","3.0","-81","-78","-78","-86"
"5.0","3.0","-81","-79","-78","-86"
"5.0","3.0","-81","-79","-76","-86"
"5.0","3.0","-81","-79","-76","-91"
"5.0","3.0","-81","-80","-76","-91"
"5.0","3.0","-98","-90","-67","-84"
"5.0","3.0","-98","-94","-67","-84"
"5.0","3.0","-98","-94","-67","-88"
"5.0","3.0","-98","-94","-67","-90"
"5.0","3.0","-90","-94","-67","-90"
"5.0","3.0","-90","-83","-73","-90"
"5.0","3.0","-90","-81","-71","-90"
"5.0","3.0","-90","-82","-71","-90"
"5.0","3.0","-90","-82","-68","-85"
"5.0","3.0","-80","-82","-68","-85"
"3.0","3.0","-79","-84","-66","-84"
"3.0","3.0","-79","-84","-66","-75"
"3.0","3.0","-80","-84","-66","-75"
"3.0","3.0","-79","-84","-67","-75"
"3.0","3.0","-79","-84","-66","-75"
"3.0","3.0","-74","-84","-67","-75"
"3.0","3.0","-74","-84","-67","-74"
"3.0","3.0","-74","-84","-67","-75"
"3.0","3.0","-79","-84","-67","-80"
"3.0","3.0","-74","-92","-67","-80"
"3.0","3.0","-77","100","-76","-87"
